"Holiday List Name","From Date","To Date","Total Holidays","Weekly Off","Color","ID (Holidays)","Date (Holidays)","Weekly Off (Holidays)","Description (Holidays)"
"2021","2021-01-01","2021-12-31",58,"Sunday","#5e3aa8","7c49b9746a","2021-01-03",0,"Sunday"
"","","","","","","21c0ad1518","2021-01-10",0,"Sunday"
"","","","","","","8788c634a2","2021-01-17",0,"Sunday"
"","","","","","","37b8fcbc98","2021-01-24",0,"Sunday"
"","","","","","","a291ad23ab","2021-01-31",0,"Sunday"
"","","","","","","1401985187","2021-02-07",0,"Sunday"
"","","","","","","839d871d3d","2021-02-14",0,"Sunday"
"","","","","","","9a406170fa","2021-02-21",0,"Sunday"
"","","","","","","b682558e08","2021-02-28",0,"Sunday"
"","","","","","","f18dcc3887","2021-03-07",0,"Sunday"
"","","","","","","6ca524c1a2","2021-03-14",0,"Sunday"
"","","","","","","91eb826114","2021-03-21",0,"Sunday"
"","","","","","","423b11bdce","2021-03-28",0,"Sunday"
"","","","","","","2c1ffd80d0","2021-04-04",0,"Sunday"
"","","","","","","01a540f18d","2021-04-11",0,"Sunday"
"","","","","","","d60a1448d4","2021-04-18",0,"Sunday"
"","","","","","","64634d8f61","2021-04-25",0,"Sunday"
"","","","","","","b345724d70","2021-05-02",0,"Sunday"
"","","","","","","e083a9bb9e","2021-05-09",0,"Sunday"
"","","","","","","7aa8dd5c40","2021-05-16",0,"Sunday"
"","","","","","","a24462d54b","2021-05-23",0,"Sunday"
"","","","","","","e5685e216f","2021-05-30",0,"Sunday"
"","","","","","","9a1067c00f","2021-06-06",0,"Sunday"
"","","","","","","cb31930294","2021-06-13",0,"Sunday"
"","","","","","","fa17b400c9","2021-06-20",0,"Sunday"
"","","","","","","e9f0e97d14","2021-06-27",0,"Sunday"
"","","","","","","8e4d769c3a","2021-07-04",0,"Sunday"
"","","","","","","8fa7187778","2021-07-11",0,"Sunday"
"","","","","","","791ff48fb0","2021-07-18",0,"Sunday"
"","","","","","","4d042ef9b1","2021-07-25",0,"Sunday"
"","","","","","","98bdb7b8d7","2021-08-01",0,"Sunday"
"","","","","","","ceff73fba2","2021-08-08",0,"Sunday"
"","","","","","","dbc683ecb7","2021-08-15",0,"Sunday"
"","","","","","","169274f620","2021-08-22",0,"Sunday"
"","","","","","","3e35b94870","2021-08-29",0,"Sunday"
"","","","","","","3106c5de50","2021-09-05",0,"Sunday"
"","","","","","","b63ba1434e","2021-09-12",0,"Sunday"
"","","","","","","9195aeca23","2021-09-19",0,"Sunday"
"","","","","","","e3fa8d7a5c","2021-09-26",0,"Sunday"
"","","","","","","4d39315999","2021-10-03",0,"Sunday"
"","","","","","","4786eaba89","2021-10-10",0,"Sunday"
"","","","","","","6ab25b190a","2021-10-17",0,"Sunday"
"","","","","","","72ed2419ae","2021-10-24",0,"Sunday"
"","","","","","","fdc77274c9","2021-10-31",0,"Sunday"
"","","","","","","f09f5c4912","2021-11-07",0,"Sunday"
"","","","","","","68b73c293f","2021-11-14",0,"Sunday"
"","","","","","","b4bde25545","2021-11-21",0,"Sunday"
"","","","","","","5605539313","2021-11-28",0,"Sunday"
"","","","","","","5e09479284","2021-12-05",0,"Sunday"
"","","","","","","67d1a0bab1","2021-12-12",0,"Sunday"
"","","","","","","b208664434","2021-12-19",0,"Sunday"
"","","","","","","b7d345659a","2021-12-26",0,"Sunday"
"","","","","","","acf0bab2bd","2021-05-01",0,"Labour Day"
"","","","","","","b8866365fd","2021-05-02",0,"Orthodox Easter"
