"Role Name","Home Page","Restrict To Domain","Disabled","Desk Access","Two Factor Authentication","Search Bar","Notifications","Chat","Sidebar","Bulk Actions","View Switcher","form_sidebar","Timeline","Dashboard","Is Custom"
"Test Role for event producer","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Purchase Order Checker","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Factory Report Manager","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Maintenance Engineer","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Dashboard Manager","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"HR Admin","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"EOS Manager","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"EOS User","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Delivery Note Approver","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Deputy PRA Approver","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Journal Entry Approver","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"CFO","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Sales Order Approver","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Purchase Order Approver","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Material Request Approver","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Sales Invoice Approver","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"CRV Approver","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"PCPV Approver","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Payment Entry Approver","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Purchase Invoice Approver","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Chart of Accounts Manager","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Document canceller","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Document Deletor","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"PRA Approver","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"PRA Checker","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Accounts Viewer","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Petty Cash Manager","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Gate Pass Approver","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Gate Pass User","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Deputy Gate Pass Approver","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Stock Viewer","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Employee Self Service","","",0,1,0,1,1,1,1,1,1,1,1,1,1
"Loan Manager","","",0,1,0,0,0,0,0,0,0,0,0,0,0
"Inbox User","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Prepared Report User","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Dashboard Viewer","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Analytics","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Non Profit Portal User","","Non Profit",1,0,0,0,0,0,0,0,0,0,0,0,0
"Customer","","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Supplier","","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Patient","","Healthcare",1,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel Reservation User","","Hospitality",1,1,0,1,1,1,1,1,1,1,1,1,0
"Hotel Manager","","Hospitality",1,1,0,1,1,1,1,1,1,1,1,1,0
"Non Profit Member","","Non Profit",1,1,0,1,1,1,1,1,1,1,1,1,0
"Non Profit Manager","","Non Profit",1,1,0,1,1,1,1,1,1,1,1,1,0
"Restaurant Manager","","Hospitality",1,1,0,1,1,1,1,1,1,1,1,1,0
"LabTest Approver","","Healthcare",1,1,0,1,1,1,1,1,1,1,1,1,0
"Nursing User","","Healthcare",1,1,0,1,1,1,1,1,1,1,1,1,0
"Laboratory User","","Healthcare",1,1,0,1,1,1,1,1,1,1,1,1,0
"Healthcare Administrator","","Healthcare",1,1,0,1,1,1,1,1,1,1,1,1,0
"Physician","","Healthcare",1,1,0,1,1,1,1,1,1,1,1,1,0
"Student","","Education",1,1,0,1,1,1,1,1,1,1,1,1,0
"Instructor","","Education",1,1,0,1,1,1,1,1,1,1,1,1,0
"LMS User","","",0,1,0,1,1,1,1,1,1,1,1,1,0
